threshold,precision,recall,harmonic_aggregate_f1,macro_class_f1,predictions,tp
0.88,0.6511995184826663,0.37280090401740545,0.4741556035559548,0.45611368130802843,4521,3886
0.89,0.6543183304420458,0.3654179544645875,0.46894411705808486,0.4508639749521888,4434,3837
0.9,0.6678467456992763,0.3592088673871444,0.46715381339460427,0.44803129053885005,4354,3790
0.91,0.6767481704193771,0.35216087144765235,0.46325615918980695,0.44365989214346463,4260,3734
0.92,0.6818606564148657,0.3408142433155374,0.454470572659855,0.43419894322248215,4160,3677
0.93,0.6874156511002203,0.3294083672065202,0.4453877232329918,0.42373399498848385,4054,3613
0.94,0.6958731837199114,0.3203763416385454,0.43875308038331545,0.4171737722171939,3926,3538
0.95,0.7046177179391019,0.3011282915850728,0.4219362097672323,0.3981732877032847,3760,3428
0.96,0.7006645015131079,0.28875583671673904,0.408968679083559,0.38396477306877147,3625,3321
0.97,0.69079235377851,0.2616555865116687,0.37954762846276696,0.35389124386198934,3416,3165
0.98,0.6992023630194092,0.23721253527973105,0.35424375564009586,0.3265523156105558,3167,2977
0.99,0.7170926801653797,0.19257096656113643,0.3036094297717476,0.2747983449708497,2732,2614
